Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.256,0.106,242,1.2,0,0,1
0.466,0.352,237.22,2.4,0,2,0
0.758,0.194,238.66,3.2,0,1,0
1.29,0.046,240.64,5.4,1,0,18
0.428,0.202,242.23,1.8,0,2,1
,,,,,,
1.206,0.302,242.1,5,0,1,12
0.182,0.12,241.84,0.8,0,1,0
1.792,0.068,242.39,7.4,0,0,18
0.474,0.328,242.28,2.2,0,1,1
,,,,,,
0.214,0.12,240.88,1,0,2,0
0.828,0.424,241.85,3.8,0,2,1
2.604,0.084,237.54,11,0,0,17
1.778,0.092,237.74,7.4,0,0,18
0.424,0.31,245.84,2.2,0,0,0
0.794,0.064,232.34,3.6,0,0,0
,,,,,,
0.204,0.104,240.49,1,0,0,0
1.526,0.314,238.38,6.4,0,2,18
1.474,0,239.12,6,0,0,1
0.264,0,244.03,1,0,0,1
1.508,0,244.68,6,0,0,18
0.244,0.12,241.53,1,0,0,1
0.668,0.22,243.99,2.8,0,0,0
0.242,0,241.77,1,0,0,0
0.224,0,242.6,1,0,0,0
0.174,0.148,239.51,0.8,0,0,1
1.432,0.202,238.13,6,0,1,17
0.162,0,244.6,0.6,0,0,1
4.078,0.09,234.53,17.4,36,0,17
0.452,0.084,243.49,1.8,0,0,0
0.426,0.16,239.95,1.8,0,1,0
0.3,0.064,239.71,1.2,0,0,0
3.198,0.24,238.68,13.6,0,26,18
0.382,0.142,241.48,2,0,0,0
0.342,0.132,246.05,1.4,0,0,0
2.48,0.364,243.03,10.2,0,4,0
0.212,0.088,242.7,1,0,0,0
2.058,0,238.97,8.6,0,0,18
0.378,0.196,244.96,1.6,0,1,1
1.154,0.054,243.77,4.8,0,0,0
0.742,0.234,241.1,3.4,0,0,7
0.272,0,244.63,1.2,0,0,0
0.356,0.21,241.78,1.8,0,2,1
0.284,0.146,242.72,1.4,0,0,1
1.406,0.194,235.69,6.2,0,1,0
2.632,0,237.14,11,2,0,17
0.408,0.198,241.78,1.8,0,0,0
1.328,0,242.83,5.4,0,0,18
0.236,0.05,236.75,1,0,0,0
1.988,0.082,238.18,8.2,0,0,28
0.294,0.07,244.73,1.2,0,0,0
0.666,0.068,241.14,2.8,0,0,1
1.316,0,238.98,5.4,0,0,18
0.642,0.052,241.03,2.6,0,0,1
0.112,0,237.61,0.6,0,0,0
0.76,0.424,240.92,3.6,1,0,0
0.454,0.23,248.63,2,0,0,0
0.132,0,240.98,0.6,0,0,0
0.156,0,241.31,0.6,0,0,0
3.862,0.56,244.39,16.2,9,10,19
0.136,0,244.1,0.6,0,0,0
1.524,0.062,240.05,6.2,0,0,18
0.292,0,243.7,1.2,0,0,0
0.34,0,234.97,1.4,0,0,0
5.894,0,232.69,25.4,0,0,16
3.976,0.308,238.96,16.6,1,0,27
0.498,0.102,240.04,2,0,0,1
3.422,0.342,238.3,14.4,0,33,0
1.662,0.142,239.59,6.8,0,2,19
0.328,0.094,240.05,1.4,0,2,1
0.328,0.08,241.92,1.4,0,0,0
1.696,0.102,234.63,7.2,2,0,0
0.252,0,245.48,1,0,0,1
0.158,0,239.68,0.6,0,0,1
0.216,0,242.19,1,0,0,0
0.378,0,243.92,1.8,0,0,1
0.654,0.304,233.39,3,0,3,0
0.278,0,244.06,1.2,0,0,1
0.328,0.242,238.93,1.6,0,1,1
1.652,0.122,234.17,7,0,6,17
0.368,0.12,244.86,1.6,0,0,1
1.418,0.066,244.39,5.8,0,1,0
2.906,0.206,238.84,12.2,0,40,0
0.222,0,243.28,1,0,0,0
0.288,0.216,239.66,1.4,0,1,0
1.812,0.318,240.17,7.6,0,2,17
4.622,0.3,245.42,18.8,41,0,0
0.514,0.102,241.67,2.2,0,1,0
